Transaction_Date,Amount,ExtDesc,other
10/18/2011 16:58,0.25,,other
10/18/2011 17:15,0,FIRST TECH 8700 SW NIMBUS AVE     BEAVERTON    ORUS,other
12/21/2011 3:18,0.13,PAYPAL VERIFYBANK - VERIFYBANK,other
12/21/2011 3:18,0.03,PAYPAL VERIFYBANK - VERIFYBANK,other
12/22/2011 3:16,5,PAYPAL TRANSFER - TRANSFER,other
1/3/2012 4:04,-5,PAYPAL TRANSFER - TRANSFER,other
1/9/2012 15:06,1650,,other
1/10/2012 18:20,0,BANK OF AMERICA *HAGGEN TUALATIN       TUALATIN     ORUS,other
1/10/2012 18:36,-9.37,HAGGEN FOOD AND PH 8515 SW TUALATIN-S     TUALATIN     ORUS,other
1/17/2012 15:08,-16.08,7-ELEVEN 6000 S.W. HALL BLV     BEAVERTON    ORUS,other
1/17/2012 19:04,-3.43,FRED MEYER 393         TUALATIN     ORUS,other
1/20/2012 15:41,-15.5,HAGGEN FOOD AND PH 8515 SW TUALATIN-S     TUALATIN     ORUS,other
1/20/2012 19:29,-19.99,VALVE SOFTWARE         425-8899642  WAUS,other
1/21/2012 19:38,-8.18,CARLS JR #7159    Q15 TUALATIN     ORUS,other
1/23/2012 11:44,-7.66,TACO BELL #3163        TUALATIN     ORUS,other
1/24/2012 7:21,-4.38,Co entry IAT PAYPAL Ind ID # 4U4J25K3MCBWY   Originator Name GILL RICHARDSON,other
1/25/2012 3:59,-6.59,BEAVERTON DQ #16068    BEAVERTON    ORUS,other
1/25/2012 11:03,-10.65,TACO BELL #3163        TUALATIN     ORUS,other
1/30/2012 15:17,-10.11,PLAID PANTRY #016 19405 SW BOONES FERRY RTUALATIN     ORUS,other
1/31/2012 20:01,0.05,,other
1/31/2012 22:51,-8.65,MCDONALDS F5957       TUALATIN     ORUS,other
2/8/2012 4:11,-10.58,BEAVERTON DQ #16068    BEAVERTON    ORUS,other
2/9/2012 16:07,-21.34,FRED MEYER 393         TUALATIN     ORUS,other
2/10/2012 17:26,-14.17,FRED MEYER 040         PORTLAND     ORUS,other
2/15/2012 11:38,-5.55,TACO BELL #3163        TUALATIN     ORUS,other
2/18/2012 0:29,-4.78,VALVE SOFTWARE         425-8899642  WAUS,other
2/21/2012 8:08,-17,PAYPAL INSTANT TRANSFER - INST XFER,other
2/28/2012 0:48,-6.5,STARBUCKS CORP00106963 TUGARD       ORUS,other
2/28/2012 11:22,-7.96,TACO BELL #3163        TUALATIN     ORUS,other
2/29/2012 4:58,-11.08,BEAVERTON DQ #16068    BEAVERTON    ORUS,other
2/29/2012 20:02,0.06,,other
3/7/2012 3:42,-9.49,BEAVERTON DQ #16068    BEAVERTON    ORUS,other
3/7/2012 17:32,-3.34,HAGGEN FOOD AND PH 8515 SW TUALATIN-S     TUALATIN     ORUS,other
3/7/2012 18:09,-10,SLIDEROOM.COM/CHARGE   000-0000000  TXUS,other
3/8/2012 21:19,-10.19,VALVE SOFTWARE         425-8899642  WAUS,other
3/9/2012 15:21,-28.83,HAGGEN FOOD AND PH 8515 SW TUALATIN-S     TUALATIN     ORUS,other
3/11/2012 0:10,-10.29,CARLS JR #7159    Q15 TUALATIN     ORUS,other
3/13/2012 18:38,-7.38,FRED MEYER 393         TUALATIN     ORUS,other
3/14/2012 7:20,-12.47,BEAVERTON DQ #16068    BEAVERTON    ORUS,other
3/26/2012 20:46,-9.99,VALVE SOFTWARE         425-8899642  WAUS,other
